patient_id,ssn,first,last,race,ethnicity,birthplace,address,city,state,county,zip,lat,lon,healthcare_expenses,healthcare_coverage,income,gender,age_begin,rash,joint_pain,fatigue,fever
8e8b4dab-8c2d-1c03-f2fc-9630114d4934,999-73-6673,Sean831,Langworth352,white,hispanic,Stafford  Texas  US,186 Schultz Light Suite 55,McAllen,Louisiana,Hidalgo County,78572,0.2633307554608544,-98.31515181704287,12076.93,1774.24,29766,M,42,1,41,27,14
581fa1e2-d0d7-64d2-aa82-02ebf762fbdc,999-54-7978,Maudie129,Predovic534,white,nonhispanic,Austin  Texas  US,897 Murphy Lane Unit 8,Houston,Texas,Harris County,77037,0.2978967348554508,-95.41571295760204,11382.81,1774.24,31355,F,37,30,25,48,10
6e7b2121-8131-8908-29b1-e815f92aadcb,999-51-3633,Alicia629,León820,white,hispanic,Kingston  Kingston  JM,525 Nicolas Center,Houston,Texas,Harris County,77045,0.2971221401853784,-95.42656289207596,12346.54,0.0,58358,F,27,19,43,22,13
0d72c0f4-1eb2-0a9a-e6be-d01460e992d0,999-55-1310,Sergio619,Hidalgo930,white,hispanic,Santo Domingo  National District  DO,914 Brekke Run,Laredo,Texas,Webb County,78043,0.2753408589875842,-99.48310231645183,15002.65,3442.72,10625,M,51,27,31,0,15
408ec456-fba8-4f2e-5d42-699d23e2f0f7,999-54-3860,Isiah14,Zulauf375,white,nonhispanic,El Paso  Texas  US,864 Howell Annex Suite 72,Leming,Texas,Atascosa County,78050,0.2911289993422335,-98.46304622834376,16470.18,3188.38,47093,M,74,17,34,34,6
57aee294-c157-5296-b6fc-433a6fed7b76,999-38-9931,Luis923,Zapata667,asian,hispanic,Portsmouth  Saint John Parish  DM,248 Murazik Green Suite 20,Angleton,Texas,Brazoria County,77515,0.2920120053209205,-95.48417906388926,11857.7,0.0,76934,M,31,18,34,37,8
ae3f13aa-1008-37e4-f5e2-1d5516815efe,999-11-4854,Regina408,Russel238,asian,nonhispanic,Hong Kong  Hong Kong Special Administrative Region  CN,687 Muller Gate,Dallas,Texas,Dallas County,75237,0.3276962194526017,-96.75742354346814,7914.26,4938.72,20690,F,30,4,4,20,17
5ac7550c-c0a5-a7e7-3ded-811febb7eaa9,999-55-7828,Demarcus108,Romaguera67,white,nonhispanic,El Paso  Texas  US,626 Crist Burg,Hollywood Park,Texas,Bexar County,78232,0.2954267244797199,-98.46142413640254,11290.13,0.0,224258,M,36,7,0,28,19
a625944d-72fe-4793-6c57-e78f7bffa3bd,999-61-2471,Claudio955,Lozada73,white,hispanic,Santiago de los Caballeros  Santiago  DO,1076 Heaney Quay Unit 57,Garland,Texas,Dallas County,75238,0.3291504775510231,-96.57416736376082,12357.28,0.0,64334,M,27,6,11,20,15
62cfcab7-ace5-da4f-9106-d7531e624dfb,999-74-2464,Randall756,Waelchi213,white,hispanic,Abilene  Texas  US,523 Wuckert Wall Unit 8,San Antonio,Texas,Bexar County,78243,0.2929406223727874,-98.46228655758463,13654.08,0.0,89928,M,36,6,31,31,9
c81b605b-ada7-3080-3260-33fb65706573,999-71-1556,Mario764,Labadie908,white,nonhispanic,Dallas  Texas  US,856 Rempel Corner,Llano,Texas,Llano County,78643,0.3064832679681908,-98.64720610926828,12438.19,4927.19,16586,F,68,12,29,1,1
bf457310-e89b-f37f-cc26-f6d6e28acb56,999-53-3747,Rodrick370,Crona259,white,nonhispanic,Brownsville  Texas  US,764 Pollich Port,Austin,Texas,Travis County,78729,0.3039918743470003,-97.63999930147672,7056.28,4802.72,9341,M,30,8,5,42,9
45c227d1-47d4-a03c-d1c8-a03f4c157245,999-89-7087,Willie882,Schoen8,white,nonhispanic,Arlington  Texas  US,583 McGlynn Extension,Live Oak,Texas,Bexar County,78154,0.2960383744900235,-98.34139679307336,16919.86,0.0,145330,F,51,49,30,36,9
c836033e-7556-7c59-963a-5e67a903cebf,999-87-3941,Vito638,Mitchell808,white,nonhispanic,College Station  Texas  US,933 Christiansen Club,Tioga,Texas,Grayson County,76271,0.3345996609275407,-96.92940583684404,16847.84,1677.78,35056,M,69,43,7,48,2
cd7b39c6-fff3-ebe2-626f-0f69355b4bd8,999-74-3371,Wilma646,Olson653,asian,nonhispanic,Beijing  Beijing Municipality  CN,741 Windler Burg,Houston,Texas,Harris County,77536,0.2998540253454968,-95.38121216931852,16112.71,0.0,36774,F,58,25,4,2,1
21f1a568-04e9-ca55-6c22-6d3ce0afda58,999-40-3686,Oliver401,Lowe577,white,nonhispanic,Midlothian  Texas  US,925 Kihn Park Unit 59,Kingsville,Texas,Kleberg County,78363,0.2740145612324149,-97.90355586107518,6551.55,6326.72,19243,M,30,22,21,44,4
dfb21061-3865-5220-3edb-a03622f8c685,999-96-8623,Sara501,Casanova632,white,hispanic,Guatemala City  Guatemala  GT,877 Grimes Run Apt 9,Laredo,Texas,Webb County,78045,0.2754343063267597,-99.48672810126187,20525.63,880.62,42916,F,60,24,35,11,13
25361c6e-e7a5-ef54-7fcc-f0c7014c291b,999-13-3700,Isadora719,Carter549,white,nonhispanic,Corpus Christi  Texas  US,294 Stanton Knoll,Corpus Christi,Texas,Nueces County,78404,0.2786164676816295,-97.37737919888971,16311.0,0.0,44642,F,52,32,5,20,8
fc294aae-dfb6-6bb0-40f7-40d35f5fc708,999-48-8876,Thad495,Marquardt819,black,nonhispanic,Corpus Christi  Texas  US,260 Frami Harbor,Huntsville,Texas,Walker County,77340,0.3071389701185026,-95.5064807114894,15470.58,0.0,42985,M,48,37,35,48,7
84962c7d-d95a-0897-f692-99deec73b5e8,999-17-3461,Lindsay928,Torphy630,asian,nonhispanic,Gonzales  Texas  US,816 Zieme Junction,Lubbock,Texas,Lubbock County,79410,0.3359214888726603,-102.0127177746256,15415.11,0.0,61942,M,62,33,39,0,10
9537e394-df20-0166-0e3b-441b5d028abd,999-66-3592,Mary779,Bernier607,white,nonhispanic,Conroe  Texas  US,921 Kertzmann Heights,Odessa,Texas,Ector County,79765,0.3191614293125658,-102.41153559147352,6848.94,5360.72,13310,M,28,3,26,8,19
1e68f844-7d27-2169-b0b0-f7a98c4271b0,999-31-7707,Annmarie79,Ankunding277,white,hispanic,Southside Place  Texas  US,154 Altenwerth Grove Unit 5,Killeen,Texas,Bell County,76548,0.3115109243433453,-97.64320780432082,16015.98,774.44,-79888,F,66,26,12,5,15
7cf079d3-93ca-ddde-9368-7801ceffe786,999-99-2191,Fausto876,Beahan375,white,nonhispanic,San Antonio  Texas  US,919 Sauer Quay,Grand Prairie,Texas,Dallas County,75211,0.3266262507750534,-97.02175345904512,17222.94,310.25,97323,M,56,38,32,34,15
18c3c493-71f7-1bc7-5845-bb824b561ec9,999-42-8119,Derick144,Gusikowski974,black,nonhispanic,Dallas  Texas  US,1042 Wisoky Manor Apt 88,Fort Worth,Texas,Tarrant County,76148,0.3275118950580358,-97.37702167474318,11669.41,2726.24,28281,M,25,47,25,44,13
0033e7f5-91d2-4997-6dab-aee714b45330,999-22-5493,Julianna856,Gorczany269,white,nonhispanic,Irving  Texas  US,371 Tromp Hollow,Austin,Texas,Travis County,78747,0.302737206160676,-97.72492367454517,11391.8,0.0,88628,F,33,7,31,19,2
b1126f0d-33ff-972c-8b0e-5b70154499aa,999-28-8403,Julius90,Murray856,white,nonhispanic,Waxahachie  Texas  US,835 Keebler Approach,Wichita Falls,Texas,Wichita County,76306,0.3387249085841458,-98.58040945938386,9608.45,5002.57,14854,M,40,27,2,3,12
167fbecf-254d-79ba-1db6-729b27cc95dc,999-70-1214,Archie818,Satterfield305,white,nonhispanic,El Paso  Texas  US,152 Hermiston Lodge Unit 11,Flatonia,Texas,Fayette County,78941,0.2979278210295141,-97.06719901005818,12232.16,3714.72,12017,M,46,22,15,7,10
bdc293d8-e7bb-3c1b-760a-0cded0c988e7,999-38-4587,Brendon298,Auer97,white,nonhispanic,Dallas  Texas  US,175 Kohler Path Suite 35,The Woodlands,Texas,Harris County,77382,0.3021342905241146,-95.56774614264124,7283.86,5360.72,2339,M,32,35,35,48,13
ff66a61f-b0aa-a309-f2d6-9e1c529a7095,999-35-8816,María Elena653,Agosto501,asian,hispanic,Santiago de los Caballeros  Santiago  DO,604 Kunde Key Apt 93,San Antonio,Texas,Bexar County,78251,0.2942263451191561,-98.52876892972408,20657.41,1484.19,138305,F,64,24,48,48,12
f0109c6d-0aac-6fee-96cc-17c8fc34fd63,999-79-5716,Carlos172,Reinger292,white,nonhispanic,Channelview  Texas  US,520 Koch Throughway Apt 0,San Marcos,Texas,Hays County,78666,0.2986620232853152,-97.96367614704344,11617.18,1252.18,114424,M,31,23,10,14,0
b97ce5cb-4d9a-7232-572f-10ec7224a142,999-29-2515,Geraldine667,Terry864,white,nonhispanic,Fort Worth  Texas  US,811 Parisian View Apt 37,Sachse,Texas,Dallas County,75040,0.3301285678554961,-96.5972564910999,12393.58,0.0,41875,F,36,23,12,33,14
3c07423d-ff56-29e4-25c6-e81ebd84d986,999-34-2798,Bryce11,Thompson596,white,nonhispanic,Keene  Texas  US,549 Ortiz Spur Suite 73,Denton,Texas,Denton County,76227,0.3324621562080822,-97.16925705882866,13609.67,682.39,50014,M,25,45,47,36,7
27262ece-381a-7c6d-b025-1edab394ff5a,999-35-8276,Noel608,Zboncak558,white,nonhispanic,San Antonio  Texas  US,305 Towne Bridge,Wylie,Texas,Collin County,75098,0.3315070651248126,-96.4393707623626,13824.42,0.0,93345,M,37,24,20,31,8
c0030758-11ef-5daa-6437-e0f2d246f33a,999-25-2162,Toshiko149,Kuvalis369,white,hispanic,San Antonio  Texas  US,104 Schumm View,Arlington,Texas,Tarrant County,76016,0.3267988354649176,-97.24551806169492,12425.86,0.0,102464,F,30,24,18,34,13
17213fbe-643f-164c-1166-807a6490fab4,999-54-7745,María del Carmen27,Yáñez198,white,hispanic,Santiago  Santiago Province  CL,496 Bernier Bridge Apt 36,Aldine,Texas,Harris County,0,0.2996288280541035,-95.4025561099267,6660.71,5954.72,11185,F,32,25,33,2,9
112d38fc-a907-6e37-6524-d3226eceebc6,999-87-8061,Norberto865,Wehner319,white,hispanic,Groves  Texas  US,904 Brekke Mill,El Paso,Texas,El Paso County,79936,0.3165619413088543,-106.26742586258564,13497.73,3578.72,1569,M,49,8,7,11,0
b3b79d99-930b-7dc9-47fb-effb43d111d1,999-81-1953,Fredric73,Schoen8,white,hispanic,Houston  Texas  US,844 Schmeler Mews,Dallas,Texas,Dallas County,75225,0.3307115375054605,-96.70539607492586,12518.07,0.0,47510,M,30,39,8,19,15
f74ab305-10bc-d8f0-f8cc-0da474d47806,999-47-4277,Kirby843,Lockman863,white,nonhispanic,Plano  Texas  US,1019 Predovic Dale Apt 40,Fort Worth,Texas,Tarrant County,76060,0.3278727867595902,-97.37496964022203,13410.15,0.0,40283,M,43,3,42,0,3
7be3cf87-2055-de8b-2011-f8bcc689a31f,999-66-9123,Toshiko149,Frami345,white,hispanic,Houston  Texas  US,944 Hansen Trail Suite 57,Austin,Texas,Travis County,78756,0.3027451673736816,-97.67127362259988,11351.71,0.0,35505,F,37,48,33,46,5
a896dfb3-1be4-c10a-5c09-ab2d251d6350,999-82-7624,Diana207,Peña909,white,hispanic,La Paz  Baja California  MX,146 Bartell Lock Apt 38,San Antonio,Texas,Bexar County,78216,0.2962625876299253,-98.44242914098952,9679.82,4258.72,20370,F,42,2,26,7,4
8ded18e2-cdf6-1cea-96ec-c148069ff9a3,999-19-7356,Dione665,Hudson301,white,nonhispanic,Murillo  Texas  US,470 Moen Vale,Houston,Texas,Harris County,77037,0.2966291209522342,-95.41038303950724,16176.44,1022.17,49593,F,70,3,11,19,9
2b9f7aa7-c077-9d75-69b1-7f39307490e9,999-66-1238,Maira380,Yundt842,white,nonhispanic,Houston  Texas  US,921 Hartmann Ranch Apt 10,San Antonio,Texas,Bexar County,78258,0.2935728329182946,-98.54704034694976,6666.38,4802.72,3422,F,35,45,27,43,15
788035ee-8edc-a1da-9f46-3cbb17fb5eb3,999-45-8450,Joya53,Bednar518,white,hispanic,Marshall  Texas  US,932 Willms Ville Apt 18,Stratford,Texas,Sherman County,79084,0.3628267067790418,-102.02095979391738,12561.89,1366.24,27908,F,42,31,42,44,6
f1af9899-032e-574d-649a-fc1535150598,999-33-2162,Cindy893,Heller342,white,nonhispanic,Denton  Texas  US,127 Bradtke Tunnel,Palestine,Texas,Anderson County,75803,0.3186839841435971,-95.67537048781465,17151.66,633.79,36800,F,58,22,40,30,15
996b9109-de34-5063-e819-92f2ff74eabf,999-52-1217,Mariano761,Alejandro916,white,hispanic,Lima  Lima Province  PE,963 Stracke View,Lake Jackson,Texas,Brazoria County,77422,0.289659390266086,-95.60113949015852,14654.57,1230.02,-199688,M,52,46,48,47,5
a4f6a7a0-3cdd-8d5b-b8a9-6f624b791bfc,999-61-8783,Timothy142,Ebert178,asian,nonhispanic,Fort Worth  Texas  US,882 Lindgren Trace,Georgetown,Texas,Williamson County,78626,0.306857433054405,-97.64114731659488,16318.11,631.92,49589,M,59,34,40,20,0
b8b9cd60-c440-04d3-4f18-8cfa0d4fce7f,999-22-5602,Rasheeda241,Wintheiser220,white,nonhispanic,Channelview  Texas  US,505 Sauer Row Apt 7,Celeste,Texas,Hunt County,75423,0.3329190168363655,-96.22210396110157,7009.96,4802.72,7658,F,35,40,15,48,16
4e548ddb-2c8b-83d2-8c62-1bb356e4cbf4,999-63-4859,Gloria696,Ibarra303,white,hispanic,Mexico City  Mexico City  MX,187 Kuhlman Pathway,Houston,Texas,Harris County,77019,0.2982958112529248,-95.25599061305562,17467.92,0.0,128433,F,50,39,25,0,7
690a7006-0756-ec37-f9e5-7796f5e3975d,999-71-8645,Nila48,Wiza601,white,nonhispanic,Houston  Texas  US,954 Mraz Parade Unit 9,Buda,Texas,Hays County,78610,0.3005387943143052,-97.88727508388936,14632.35,0.0,119483,F,60,47,3,0,11
a6b1817e-c53c-2141-8cb7-60f849083af0,999-14-9832,Tomas436,Parker433,asian,nonhispanic,Busan  Busan  KR,757 Murazik Plaza,Euless,Texas,Tarrant County,76040,0.328842785376125,-97.0794118957122,11310.91,2182.24,-27785,M,42,42,8,17,6
7681f877-ad38-4a49-acbf-2b91ee779d83,999-74-4766,Parker433,Jacobi462,white,nonhispanic,Tyler  Texas  US,149 Bailey Tunnel Unit 61,College Station,Texas,Brazos County,77801,0.3062036818798476,-96.35822410969791,16595.1,0.0,141882,M,50,31,12,29,14
d96ab8a8-0901-cfd3-c49c-624049b14d54,999-57-7293,Karoline975,Buckridge80,white,hispanic,Dallas  Texas  US,271 Boyer Hollow Unit 24,Fort Worth,Texas,Tarrant County,76248,0.3292369205159028,-97.42252793627918,7177.19,4802.72,16858,F,38,21,11,10,18
588257b1-29c5-0d7d-a27f-3e1619827c2e,999-27-6710,Marta91,Pichardo350,white,hispanic,Lima  Lima Province  PE,464 Macejkovic Junction,Winters,Texas,Runnels County,79567,0.3200725875024915,-100.0148549762375,16231.97,1621.71,74910,F,62,42,47,33,16
f9ff4783-2fe4-5497-0057-d501a0404c50,999-21-3617,Geraldo282,Stanton715,white,nonhispanic,El Paso  Texas  US,498 Waters Divide Suite 70,Dallas,Texas,Denton County,75006,0.3294312212641066,-96.76331092052156,8154.08,6014.29,10094,M,28,38,30,4,9
124f6358-91ab-931c-5d9e-7d4a292406fb,999-94-3161,Lashunda872,Conroy74,white,nonhispanic,Garden Ridge  Texas  US,1005 Ward Walk,Port Arthur,Texas,Jefferson County,77642,0.296756500351468,-93.9757036471092,13647.08,0.0,36130,F,28,20,28,33,8
4cdf410b-da67-fbbc-4752-97334e00f356,999-36-5018,Lucas404,Hinojosa147,white,hispanic,Caracas  Capital District  VE,180 Hamill Corner Unit 77,Houston,Texas,Harris County,77073,0.2987648415160391,-95.56168909642903,13747.23,5538.17,1315,M,73,17,16,5,12
9f42c1ec-770e-720d-3091-9a364e0a7e64,999-25-9352,Carmen818,Montañez267,white,hispanic,Tegucigalpa  Francisco Morazán  HN,381 Marquardt Flat,Nixon,Texas,Gonzales County,78140,0.2931623576336304,-97.80847164895022,12899.12,0.0,123944,F,38,10,2,40,18
8f86b69c-fbdb-e6f5-5a27-af2cc8ca4ad0,999-32-5688,Jerome176,Homenick806,white,nonhispanic,Corpus Christi  Texas  US,660 Wilderman Burg Unit 55,Killeen,Texas,Bell County,76549,0.3116183165076097,-97.65185651692696,6417.77,4802.72,11173,M,37,29,30,42,3
2bb9bf5e-9c31-12c3-c758-69cfc0e205a0,999-92-2139,Marisol435,Delao225,white,hispanic,Buenos Aires  Ciudad de Buenos Aires  AR,259 Bahringer Gateway,Decatur,Texas,Wise County,76234,0.3328300030020735,-97.52318743274644,14655.75,0.0,35298,F,58,21,10,44,15
6eb8678d-acce-e83f-2ec1-060306419c4b,999-74-8412,Rory188,Nienow652,white,nonhispanic,Pflugerville  Texas  US,738 Walsh View Apt 87,Lakeside City,Texas,Archer County,76308,0.337590353653514,-98.48466750299582,12686.91,0.0,51473,M,36,15,42,33,16
0adf139b-c7a6-b6b5-b7ab-3917b78aa9da,999-40-5567,Natalia964,Mota271,black,hispanic,Puebla  Puebla  MX,315 DuBuque Terrace Apt 74,Grand Prairie,Texas,Dallas County,75052,0.327993875696534,-96.9092916198787,13924.35,0.0,135883,F,34,24,9,19,17
